nome;latitude;longitude
Escola Municipal Boa Viagem;-8.1256;-34.9011
Escola Municipal Casa Forte;-8.0389;-34.9152
Escola Municipal Varzea;-8.0471;-34.9431
Escola Municipal Centro;-8.0631;-34.8711
Escola Municipal Derby;-8.0575;-34.8978
Creche Municipal Recife;-8.0500;-34.8800
Escola Tecnica;-8.0700;-34.9000
Escola Municipal Governador Eduardo Campos;-8.05;-34.87
Escola Municipal Professor Jose da Costa Porto;-8.13;-34.90
Escola Municipal Dona Lindu;-8.06;-34.88
Escola Municipal Joao Barbalho;-8.04;-34.91
Escola Municipal Manoel Borba;-8.05;-34.89
Escola Municipal Oswaldo Cruz;-8.03;-34.92
Escola Municipal Padre Roma;-8.07;-34.87
Escola Municipal Rui Barbosa;-8.06;-34.89
Escola Municipal Santos Dumont;-8.04;-34.90
Escola Municipal Sao Jose;-8.05;-34.88
Escola Municipal Visconde de Sabugosa;-8.08;-34.88
Escola Municipal Wilson Freire;-8.02;-34.93
Creche Municipal Boa Vista;-8.12;-34.91
Creche Municipal Cordeiro;-8.03;-34.94
Creche Municipal Ilha Joana Bezerra;-8.07;-34.89
Escola Municipal Abdias de Carvalho;-8.04;-34.92
Escola Municipal Anisio Teixeira;-8.06;-34.87
Escola Municipal Artur Lundgren;-8.05;-34.90
Escola Municipal Barao de Studart;-8.07;-34.88
Escola Municipal Coelho Rodrigues;-8.03;-34.91
